"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"週","しゅう","week"
"周囲","しゅうい","surroundings, environs; circumference"
"収穫","しゅうかく","harvest, crop, ingathering; fruits (of one's labors), gain, result, returns; catch (fishing), bag (hunting), haul"
"週間","しゅうかん","week"
"宗教","しゅうきょう","religion, religious affiliation, belief, faith, creed; religious activity"
"就職","しゅうしょく","finding employment, getting a job"
"修正","しゅうせい","amendment, correction, revision, modification, alteration, retouching, update, fix"
"集団","しゅうだん","group, mass"
"集中","しゅうちゅう","concentration (on a task), focusing one's attention; concentration (of population, buildings, power, etc.), centralization, convergence, focus (of a debate, questions, etc.); within a collection of works"
"収入","しゅうにゅう","income, earnings, revenue, proceeds, takings, receipts"
"修理","しゅうり, しゅり, すり","repair, mending, fixing, servicing"
"主義","しゅぎ","doctrine, rule, principle, -ism"
"宿泊","しゅくはく","accommodation, lodging"
"首相","しゅしょう","prime minister, chancellor (Germany, Austria, etc.), premier"
"手術","しゅじゅつ, しゅずつ","surgery, operation, procedure; skill with one's hands, sleight of hand"
"手段","しゅだん","means, way, measure"
"主張","しゅちょう","claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
"出身","しゅっしん","one's origin (e.g. city, country, parentage, school)"
"出席","しゅっせき","attendance, presence, appearance"
"出発","しゅっぱつ","departure, leaving, setting off"
"出版","しゅっぱん","publication"
"首都","しゅと","capital (city), metropolis"
"主婦","しゅふ","housewife, mistress (of the house), homemaker"
"主要","しゅよう","chief, main, principal, major"
"種類","しゅるい","variety, kind, type, category; counter for kinds, species, etc."
"瞬間","しゅんかん","moment, instant, second"
"賞","しょう","prize, award"
"章","しょう","chapter, section; medal, badge, insignia"
"小","しょう","smallness, small item; short month (i.e. having fewer than 31 days); elementary school; smaller (of two things, places, etc. with the same name), inferior; younger (of two people with the same name), junior; unit of field area (approx. 400 sq m)"
"障害","しょうがい","obstacle, impediment, hindrance, barrier, difficulty; disorder, defect, disability, handicap, impairment, dysfunction; steeplechase; obstacle race, steeplechase (athletics)"
"奨学金","しょうがくきん, しょうがっきん","scholarship, stipend, bursary, grant-in-aid; student loan"
"正午","しょうご","noon, midday"
"少々","しょうしょう","just a minute, small quantity"
"正直","しょうじき","honest, frank, candid, straightforward; honestly, frankly"
"少女","しょうじょ","girl (usu. between 7 and 17), young lady; female between 17 and 20 years old (ritsuryō period)"
"症状","しょうじょう","symptoms, condition (of a patient)"
"生じる","しょうじる","to produce, to yield, to cause; to result from, to arise, to be generated"
"招待","しょうたい, しょうだい","invitation"
"承知","しょうち","knowledge, awareness; acceptance, consent, assent, agreement, compliance, acknowledgment, acknowledgement; forgiving, pardoning, excusing"
"衝突","しょうとつ","collision, crash, impact, running into; clash, skirmish, conflict, discord, quarrel, brush"
"商人","しょうにん, あきんど, あきうど, あきゅうど, あきびと","merchant, trader, tradesman, dealer, shopkeeper"
"承認","しょうにん","recognition, acknowledgement, acknowledgment, approval, consent, agreement"
"少年","しょうねん","boy; juvenile, child"
"商売","しょうばい","trade, business, commerce; occupation, calling, profession, job"
"消費","しょうひ","consumption, expenditure, spending"
"商品","しょうひん","commodity, article of commerce, goods, stock, merchandise"
"消防","しょうぼう","fire fighting; fire department, fire brigade, firefighter"
"証明","しょうめい","proof, testimony, demonstration, verification, certification"
"職","しょく, そく","job, work, employment, occupation, position; duties; trade, skill"
"職業","しょくぎょう","occupation, profession, job, vocation, trade, calling, business"
"食事","しょくじ","meal, dinner; diet"
"食卓","しょくたく","dining table"
"食品","しょくひん","food, food products, foodstuffs"
"植物","しょくぶつ","plant, vegetation"
"食物","しょくもつ","food, foodstuff"
"食欲","しょくよく","appetite (for food)"
"食糧","しょくりょう","food (esp. staple food such as rice or wheat), provisions, rations, food supply"
"食料","しょくりょう","food"
"書斎","しょさい","study, library, den, home office, reading room"
"署名","しょめい","signature"
"書物","しょもつ","book, volume"
"処理","しょり","processing, dealing with, treatment, disposition, disposal"
"書類","しょるい","document, papers"
"使用","しよう","use, application, employment, utilization, utilisation"
"知らせ","しらせ","news, word, tidings, notice, notification, information; omen, foreboding, premonition"
"尻","しり","buttocks, behind, rump, bottom, hips; undersurface, bottom; last place, end; consequence"
"印","しるし","mark, sign; symbol, emblem; badge, crest, flag; evidence, proof; token (of gratitude, affection, etc.)"
"城","しろ","castle"
"進学","しんがく","advancing to the next stage of education, going on to (high school, college, etc.)"
"神経","しんけい","nerve; nerves, sensitivity"
"真剣","しんけん","serious, earnest; real sword (as opposed to a wooden practice weapon)"
"信仰","しんこう","(religious) faith, belief, creed"
"深刻","しんこく","serious, severe, grave, acute"
"信号","しんごう","signal, signalling, signaling; traffic light, traffic signal"
"診察","しんさつ","medical examination, checkup, consultation"
"信じる","しんじる","to believe, to believe in, to place trust in, to confide in, to have faith in"
"親戚","しんせき","relative, relation, kin"
"新鮮","しんせん","fresh"
"心臓","しんぞう","heart; guts, nerve, cheek, gall, spine; heart (of something), central part"
"身体","しんたい, しんだい, しんてい","body, physical system, (the) person"
"身長","しんちょう","height (of a person), stature"
"慎重","しんちょう","careful, cautious, prudent, discreet, deliberate"
"心配","しんぱい","worry, concern, anxiety, uneasiness, fear; care, help, aid, assistance"
"審判","しんぱん, しんばん","judgement, judgment, decision, verdict, sentence; refereeing, umpiring, judging; judgement (of God); referee, umpire, judge"
"進歩","しんぽ","progress, advance, improvement, development"
"親友","しんゆう","close friend, bosom friend, buddy, crony, chum"
"信用","しんよう","confidence, trust, faith, reputation; credit"
"信頼","しんらい","trust (in), confidence, faith, reliance"
"心理","しんり","state of mind, mentality, psychology"
"ジェット機","ジェットき","jet aeroplane, jet airplane"
"直に","じかに","directly, in person, firsthand"
"直","じき","soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction"
"時期","じき","time, season, period, phase, stage"
"事件","じけん","event, affair, incident, case, plot, trouble, scandal"
"時刻","じこく","time, (the) hour; favourable time, opportunity, chance"
"自殺","じさつ","suicide"
"自身","じしん","(one's) self, oneself, yourself, himself, herself"
"事実","じじつ","fact, truth, reality"
"事情","じじょう","circumstances, conditions, situation, reasons, state of affairs"
"事態","じたい","situation, (present) state of affairs, circumstances"
"実験","じっけん","experiment, experimentation"
"実行","じっこう","execution (e.g. of a plan), carrying out, (putting into) practice, action, implementation, fulfillment, realization; execution (of a program), run"
"実際","じっさい","reality, actuality, truth, fact, actual conditions; practice (as opposed to theory); truly, really, indeed, actually; bhutakoti (limit of reality)"
"実施","じっし","enforcement, implementation, putting into practice, carrying out, operation, working (e.g. working parameters), enactment"
"凝乎と","じっと, じーっと, じーと, じいっと","motionlessly (e.g. stand, wait), (be) still; fixedly (e.g. gaze, stare), intently (e.g. listen, think); patiently (endure), stoically; firmly (e.g. hold), restrained"
"実現","じつげん","implementation (e.g. of a system), materialization, materialisation, realization, realisation, actualization, actualisation"
"実に","じつに, げに, まことに","indeed, really, absolutely, truly, actually, very, quite"
"実は","じつは","as a matter of fact, by the way, to tell you the truth, to be honest, frankly"
